"country","month","year","local.cases","local.pop","travel.cases","travel.pop"
"Honduras",8,2016,1391,9112867,6,12673
"Jamaica",8,2016,581,2881355,20,42412
"Martinique",8,2016,1041,385000,0,1151
"Mexico",8,2016,1517,127540423,14,94726
"Nicaragua",8,2016,2955,6149928,48,15284
"Panama",8,2016,255,4034119,0,11100
"Paraguay",8,2016,13,6725308,NA,2928
"Peru",8,2016,17,31773839,NA,23466
"Puerto Rico",8,2016,9264,3411307,59,99379
"St Barthelemy",8,2016,191,9278,0,7
"St Kitts-Nevis",8,2016,54,54821,NA,3425
"St Lucia",8,2016,0,178015,0,2042
"St Maarten (Dutch Part)",8,2016,301,40005,NA,6218
"St Vincent-Grenad",8,2016,174,109643,NA,101
"Suriname",8,2016,17,558368,0,2131
"Trinidad-Tobago",8,2016,186,1364962,0,16063
"Turks-Caicos",8,2016,31,34900,NA,6834
"Uruguay",8,2016,NA,3444006,NA,4840
"Venezuela",8,2016,1590,31568179,3,48895
"Virgin Islands (GB)",8,2016,67,30661,2,397
"Virgin Islands (US)",8,2016,318,102951,4,12034
"Anguilla",9,2016,4,15000,0,16
"Antigua-Barbuda",9,2016,110,100963,0,1116
"Argentina",9,2016,10,43847430,NA,53700
"Aruba",9,2016,0,104822,NA,8827
"Bahamas",9,2016,57,391232,0,35259
"Barbados",9,2016,57,284996,2,5820
"Belize",9,2016,179,366954,0,2079
"Bermuda",9,2016,NA,65331,NA,2146
"Bolivia",9,2016,9,10887882,0,6116
"Bonaire, Saint Eustatius and Saba",9,2016,NA,25000,0,477
"Brazil",9,2016,1315,207652865,0,83108
"Canada",9,2016,NA,36286425,NA,96122
"Cayman Islands",9,2016,61,60765,0,7654
"Chile",9,2016,NA,17909754,NA,18343
"Colombia",9,2016,795,48653419,0,62032
"Costa Rica",9,2016,1688,4857274,0,21353
"Cuba",9,2016,0,11475982,0,50213
"Curacao",9,2016,425,159999,1,4202
"Dominica",9,2016,17,73543,0,419
"Dominican Rep",9,2016,34,10648791,1,32657
"Ecuador",9,2016,102,16385068,0,25314
"El Salvador",9,2016,98,6344722,0,4236
"French Guiana",9,2016,172,283000,NA,160
"Grenada",9,2016,39,107317,0,1138
"Guadeloupe",9,2016,1122,450000,0,156
"Guatemala",9,2016,268,16582469,2,8178
"Guyana",9,2016,NA,773303,0,3048
"Haiti",9,2016,NA,10847334,0,26970
"Honduras",9,2016,593,9112867,1,10574
"Jamaica",9,2016,226,2881355,5,26963
"Martinique",9,2016,634,385000,0,239
"Mexico",9,2016,1947,127540423,8,79872
"Nicaragua",9,2016,1358,6149928,8,11337
"Panama",9,2016,325,4034119,0,11153
"Paraguay",9,2016,12,6725308,NA,3124
"Peru",9,2016,82,31773839,NA,23273
"Puerto Rico",9,2016,6948,3411307,30,78229
"St Barthelemy",9,2016,143,9278,0,5
"St Kitts-Nevis",9,2016,257,54821,NA,1688
"St Lucia",9,2016,0,178015,0,1518
"St Maarten (Dutch Part)",9,2016,409,40005,NA,3430
"St Vincent-Grenad",9,2016,49,109643,NA,108
"Suriname",9,2016,24,558368,0,3529
"Trinidad-Tobago",9,2016,55,1364962,0,11106
"Turks-Caicos",9,2016,31,34900,NA,4446
"Uruguay",9,2016,NA,3444006,NA,5644
"Venezuela",9,2016,732,31568179,0,38601
"Virgin Islands (GB)",9,2016,0,30661,1,209
"Virgin Islands (US)",9,2016,337,102951,0,9412
"Anguilla",10,2016,6,15000,0,14
"Antigua-Barbuda",10,2016,0,100963,1,1045
"Argentina",10,2016,0,43847430,NA,50147
"Aruba",10,2016,0,104822,NA,7608
"Bahamas",10,2016,36,391232,1,39713
"Barbados",10,2016,76,284996,0,5218
"Belize",10,2016,130,366954,0,1369
"Bermuda",10,2016,NA,65331,NA,2510
"Bolivia",10,2016,25,10887882,0,6294
"Bonaire, Saint Eustatius and Saba",10,2016,NA,25000,0,656
"Brazil",10,2016,1648,207652865,0,86815
"Canada",10,2016,NA,36286425,NA,125911
"Cayman Islands",10,2016,19,60765,0,9137
"Chile",10,2016,NA,17909754,NA,15964
"Colombia",10,2016,776,48653419,0,68905
"Costa Rica",10,2016,1450,4857274,0,20399
"Cuba",10,2016,0,11475982,3,57251
"Curacao",10,2016,1435,159999,1,4845
"Dominica",10,2016,8,73543,0,380
"Dominican Rep",10,2016,29,10648791,1,31210
"Ecuador",10,2016,51,16385068,0,28486
"El Salvador",10,2016,83,6344722,0,4250
"French Guiana",10,2016,206,283000,NA,272
"Grenada",10,2016,9,107317,0,1197
"Guadeloupe",10,2016,262,450000,0,367
"Guatemala",10,2016,240,16582469,0,9683
"Guyana",10,2016,NA,773303,0,3090
"Haiti",10,2016,NA,10847334,0,24580
"Honduras",10,2016,253,9112867,0,10736
"Jamaica",10,2016,165,2881355,0,29090
"Martinique",10,2016,208,385000,0,778
"Mexico",10,2016,1714,127540423,2,81923
"Nicaragua",10,2016,905,6149928,1,10002
"Panama",10,2016,462,4034119,1,13598
"Paraguay",10,2016,7,6725308,NA,2879
"Peru",10,2016,517,31773839,NA,24832
"Puerto Rico",10,2016,5292,3411307,9,92195
"St Barthelemy",10,2016,121,9278,0,7
"St Kitts-Nevis",10,2016,244,54821,NA,1726
"St Lucia",10,2016,0,178015,0,1447
"St Maarten (Dutch Part)",10,2016,418,40005,NA,4184
"St Vincent-Grenad",10,2016,5,109643,NA,106
"Suriname",10,2016,7,558368,0,1576
"Trinidad-Tobago",10,2016,9,1364962,0,12259
"Turks-Caicos",10,2016,55,34900,NA,4353
"Uruguay",10,2016,NA,3444006,NA,4034
"Venezuela",10,2016,418,31568179,1,38987
"Virgin Islands (GB)",10,2016,43,30661,3,320
"Virgin Islands (US)",10,2016,383,102951,2,10799
"Anguilla",11,2016,14,15000,0,56
"Antigua-Barbuda",11,2016,17,100963,0,1220
"Argentina",11,2016,0,43847430,NA,46446
"Aruba",11,2016,1,104822,NA,7208
"Bahamas",11,2016,14,391232,0,42877
"Barbados",11,2016,18,284996,0,6149
"Belize",11,2016,38,366954,0,2630
"Bermuda",11,2016,NA,65331,NA,2808
"Bolivia",11,2016,72,10887882,0,7067
"Bonaire, Saint Eustatius and Saba",11,2016,NA,25000,0,465
"Brazil",11,2016,1386,207652865,0,87552
"Canada",11,2016,NA,36286425,NA,171867
